0;0;75;0
0;0;73;0;true
1450649106687;1450649106694;74;0;false
1450649106767;1450649106773;53;0;false
1450649106828;1450649106834;54;0;false
1450649106888;1450649106894;53;0;false
1450649106952;1450649106958;53;0;false
1450649107013;1450649107019;54;0;false
1450649107073;1450649107078;53;0;false
1450649107131;1450649107137;52;0;false
1450649107193;1450649107198;55;0;false
1450649107257;1450649107263;53;0;false
1450649107318;1450649107324;54;0;false
1450649107381;1450649107386;56;0;false
1450649107441;1450649107448;53;0;false
1450649107502;1450649107513;53;0;false
1450649107569;1450649107576;54;0;false
1450649107631;1450649107638;53;0;false
1450649107693;1450649107701;54;0;false
1450649107758;1450649107765;54;0;false
1450649107828;1450649107836;55;0;false
1450649107893;1450649107901;56;0;false
1450649107958;1450649107966;55;0;false
1450649108021;1450649108028;54;0;false
1450649108338;1450649108346;1;0;false
1450649108400;1450649108408;53;0;false
1450649108465;1450649108472;1;0;false
1450649108526;1450649108533;52;0;false
1450649108587;1450649108594;53;0;false
1450649108649;1450649108663;53;0;false
1450649108717;1450649108724;53;0;false
1450649108779;1450649108786;54;0;false
1450649108841;1450649108849;54;0;false
1450649108903;1450649108910;1;0;false
1450649108970;1450649108976;53;0;false
1450649109032;1450649109037;56;0;false
1450649109092;1450649109098;54;0;false
1450649109151;1450649109156;53;0;false
1450649109212;1450649109217;55;0;false
1450649109271;1450649109276;1;0;false
1450649109328;1450649109334;52;0;false
1450649109387;1450649109392;53;0;false
1450649109447;1450649109452;54;0;false
1450649109506;1450649109517;53;0;false
1450649109570;1450649109576;53;0;false
1450649109630;1450649109635;54;0;false
1450649109689;1450649109694;53;0;false
1450649109748;1450649109754;53;0;false
1450649109814;1450649109819;54;0;false
1450649109873;1450649109879;1;0;false
1450649109934;1450649109939;53;0;false
1450649109991;1450649109997;52;0;false
1450649110055;1450649110061;1;0;false
1450649110115;1450649110122;7;0;false
1450649110177;1450649110184;55;0;false
1450649110238;1450649110244;54;0;false
1450649110298;1450649110305;53;0;false
1450649110366;1450649110373;55;0;false
1450649110427;1450649110433;1;0;false
1450649110488;1450649110494;54;0;false
1450649110548;1450649110555;53;0;false
1450649110609;1450649110615;54;0;false
1450649501582;1450649502127;74;0;false
1450649502237;1450649502783;20;0;false
1450649502877;1450649503424;20;0;false
1450649503528;1450649504074;20;0;false
1450649504424;1450649504971;20;0;false
1450649505066;1450649505609;20;0;false
1450649505704;1450649506249;20;0;false
1450649506346;1450649506892;21;0;false
1450649506988;1450649507433;21;0;false
1450649507520;1450649507956;17;0;false
1450649508043;1450649508480;16;0;false
1450649508568;1450649509006;16;0;false
1450649509091;1450649509528;17;0;false
1450649509616;1450649510052;16;0;false
1450649515819;1450649515825;75;0;false
1450649515895;1450649515900;53;0;false
1450649515954;1450649515960;53;0;false
1450649516014;1450649516019;54;0;false
1450649516080;1450649516085;55;0;false
1450649516139;1450649516145;53;0;false
1450649516202;1450649516207;1;0;false
1450649516263;1450649516268;55;0;false
1450649516323;1450649516328;54;0;false
1450649516393;1450649516399;58;0;false
1450649516453;1450649516458;53;0;false
1450649516523;1450649516528;64;0;false
1450649516582;1450649516588;53;0;false
1450649516652;1450649516662;64;0;false
1450649516716;1450649516723;52;0;false
1450649516797;1450649516804;72;0;false
1450649516858;1450649516866;53;0;false
1450649516922;1450649516930;55;0;false
1450649516997;1450649517005;59;0;false
1450649517099;1450649517107;1;0;false
1450649517164;1450649517171;56;0;false
1450649517234;1450649517241;1;0;false
1450649517304;1450649517312;62;0;false
1450649517671;1450649517679;358;0;false
1450649517739;1450649517746;60;0;false
1450649517804;1450649517812;57;0;false
1450649517870;1450649517877;58;0;false
1450649517932;1450649517946;54;0;false
1450649518000;1450649518008;53;0;false
1450649518068;1450649518076;59;0;false
1450649518137;1450649518145;59;0;false
1450649518482;1450649518489;337;0;false
1450649518553;1450649518560;55;0;false
1450649518620;1450649518627;59;0;false
1450649518687;1450649518694;59;0;false
1450649518749;1450649518757;1;0;false
1450649518811;1450649518818;54;0;false
1450649518873;1450649518881;7;0;false
1450649518936;1450649518944;54;0;false
1450649518998;1450649519006;54;0;false
1450649519060;1450649519067;1;0;false
1450649519123;1450649519138;54;0;false
1450649519193;1450649519201;54;0;false
1450649519254;1450649519262;52;0;false
1450649519315;1450649519322;53;0;false
